/vref_c (temperature=0) X,/vref_c (temperature=0) Y,/vref_c (temperature=27) X,/vref_c (temperature=27) Y,/vref_c (temperature=100) X,/vref_c (temperature=100) Y,/vref_p (temperature=0) X,/vref_p (temperature=0) Y,/vref_p (temperature=27) X,/vref_p (temperature=27) Y,/vref_p (temperature=100) X,/vref_p (temperature=100) Y
0,3.552692981290124e-09,0,1.881789812598783e-09,0,5.63212143764056e-10,0,2.518676603504303e-11,0,3.805311623962497e-11,0,7.913325959235027e-11
0.001,0.000997740356250543,0.001,0.0009992101930951104,0.001,0.0009996821210228532,0.001,7.918479527228627e-06,0.001,2.250438903650753e-05,0.001,0.0001548625640875538
0.002,0.001995610893811652,0.002,0.001998458762879039,0.002,0.002002297065865459,0.002,1.61042296479648e-05,0.002,4.56394956374083e-05,0.002,0.0003122305586289728
0.003,0.002993601263664034,0.003,0.002997744152213916,0.003,0.003001867532840172,0.003,2.456060890511894e-05,0.003,6.940964000095478e-05,0.003,0.0004723331903795046
0.004,0.003991696949472799,0.004,0.003997062225067169,0.004,0.004001507465356225,0.004,3.32909444555152e-05,0.004,9.381906491449684e-05,0.004,0.0006350569703625968
0.005,0.004989886597370086,0.005,0.00499640927117741,0.005,0.005001132991199295,0.005,4.229856605074753e-05,0.005,0.0001188719942324708,0.005,0.0008004007201577892
0.006,0.005988158016542146,0.006,0.006001988435002841,0.006,0.006000765920224626,0.006,5.158681544582602e-05,0.006,0.0001445695479783841,0.006,0.0009683639181390977
0.007,0.006994404629418233,0.007,0.007001151486412479,0.007,0.007000400987268701,0.007,6.115856874445667e-05,0.007,0.0001709219887124714,0.007,0.001138946192784893
0.008,0.007992523434392921,0.008,0.008000459960824892,0.008,0.008000037932952148,0.008,7.101814574342952e-05,0.008,0.0001979307110223142,0.008,0.00131214734223449
0.009000000000000001,0.008990868984528317,0.009000000000000001,0.008999781598509332,0.009000000000000001,0.008999676448374147,0.009000000000000001,8.116854848983488e-05,0.009000000000000001,0.0002256000794343276,0.009000000000000001,0.001487967356214423
0.01,0.009989252433257628,0.01,0.009999116237741808,0.01,0.009999316235419513,0.01,9.161327198728063e-05,0.01,0.0002539345610060995,0.01,0.001666406436337632
