/vref_c (modelFiles=gpdk045.scs:tt) X,/vref_c (modelFiles=gpdk045.scs:tt) Y,/vref_p (modelFiles=gpdk045.scs:tt) X,/vref_p (modelFiles=gpdk045.scs:tt) Y
0.9570000000000007,0.5980546544631808,0.9570000000000007,0.598804493922151
0.9580000000000007,0.5980533341191819,0.9580000000000007,0.5987804617144468
0.9590000000000007,0.5980520188804965,0.9590000000000007,0.5987564742992553
0.9600000000000007,0.5980507089206822,0.9600000000000007,0.5987325313754329
0.9610000000000007,0.5980494044120664,0.9610000000000007,0.5987086326507918
0.9620000000000007,0.598048105523628,0.9620000000000007,0.5986847778396049
0.9630000000000007,0.5980468124243031,0.9630000000000007,0.5986609666639685
0.9640000000000007,0.5980455252807816,0.9640000000000007,0.5986371988535455
0.9650000000000007,0.598044244257439,0.9650000000000007,0.5986134741439574
0.9660000000000007,0.5980429695191094,0.9660000000000007,0.5985897922780603
0.9670000000000007,0.5980417012255739,0.9670000000000007,0.5985661530069567
0.9680000000000007,0.5980404395387532,0.9680000000000007,0.5985425560871999
0.9690000000000007,0.598039184617397,0.9690000000000007,0.5985190012809236
0.9700000000000008,0.5980379366169228,0.9700000000000008,0.5984954883579924
0.9710000000000008,0.5980366956948547,0.9710000000000008,0.5984720170924288
0.9720000000000008,0.5980354620035545,0.9720000000000008,0.5984485872664799
0.9730000000000008,0.598034235696855,0.9730000000000008,0.598425198666609
0.9740000000000008,0.5980330169253237,0.9740000000000008,0.5984018510849979
0.9750000000000008,0.5980318058378005,0.9750000000000008,0.5983785443188233
0.9760000000000008,0.5980306025821556,0.9760000000000008,0.5983552781739864
0.9770000000000008,0.5980294073060706,0.9770000000000008,0.5983320524564836
0.9780000000000008,0.5980282201537499,0.9780000000000008,0.598308866981326
0.9790000000000008,0.5980270412682193,0.9790000000000008,0.598285721566075
0.9800000000000008,0.598025870791816,0.9800000000000008,0.5982626160351501
0.9810000000000008,0.5980247088650346,0.9810000000000008,0.5982395502156271
0.9820000000000008,0.5980235556267095,0.9820000000000008,0.5982165239409108
0.9830000000000008,0.5980224112150718,0.9830000000000008,0.5981935370484954
0.9840000000000008,0.5980212757664748,0.9840000000000008,0.5981705893785688
0.9850000000000008,0.5980201494148807,0.9850000000000008,0.5981476807782684
0.9860000000000008,0.5980190322943948,0.9860000000000008,0.5981248110968919
0.9870000000000008,0.598017924536656,0.9870000000000008,0.5981019801887485
0.9880000000000008,0.5980168262726097,0.9880000000000008,0.5980791879107397
0.9890000000000008,0.5980157376311208,0.9890000000000008,0.5980564341263123
0.9900000000000008,0.5980146587397841,0.9900000000000008,0.5980337186989855
0.9910000000000008,0.5980135897253133,0.9910000000000008,0.5980110414998876
0.9920000000000008,0.5980125307138271,0.9920000000000008,0.5979884024001155
0.9930000000000008,0.5980114818270124,0.9930000000000008,0.597965801277103
0.9940000000000008,0.5980104431893609,0.9940000000000008,0.5979432380094478
0.9950000000000008,0.5980094149214793,0.9950000000000008,0.5979207124806792
0.9960000000000008,0.5980083971418896,0.9960000000000008,0.5978982245761371
0.9970000000000008,0.5980073899709245,0.9970000000000008,0.5978757741856923
0.9980000000000008,0.5980063935249336,0.9980000000000008,0.5978533612012003
0.9990000000000008,0.5980054079197217,0.9990000000000008,0.5978309855178862
1.000000000000001,0.5980044332699643,1.000000000000001,0.5978086470340994
1.001000000000001,0.5980034696889799,1.001000000000001,0.5977863456495186
1.002,0.5980025172892092,1.002,0.5977640812692672
1.003,0.5980015761808023,1.003,0.5977418537990943
1.004,0.5980006464736464,1.004,0.5977196631478473
1.005,0.5979997282763297,1.005,0.5976975092266851
1.006,0.5979988216954776,1.006,0.5976753919498052
1.007,0.597997926837992,1.007,0.5976533112331852
1.008,0.597997043807187,1.008,0.5976312669964003
1.009,0.5979961727073176,1.009,0.5976092591597451
1.01,0.597995313640354,1.01,0.5975872876457529
1.010999999999999,0.5979944667070817,1.010999999999999,0.5975653523806409
1.011999999999999,0.5979936320078886,1.011999999999999,0.5975434532908819
1.012999999999999,0.5979928096415629,1.012999999999999,0.5975215903065065
1.013999999999999,0.5979919997050245,1.013999999999999,0.5974997633592669
1.014999999999999,0.5979912022955064,1.014999999999999,0.597477972381898
1.015999999999999,0.5979904175070863,1.015999999999999,0.5974562173102389
1.016999999999999,0.5979896454343896,1.016999999999999,0.5974344980805373
1.017999999999999,0.5979888861703568,1.017999999999999,0.5974128146321419
1.018999999999999,0.5979881398073897,1.018999999999999,0.5973911669054768
1.019999999999998,0.5979874064350567,1.019999999999998,0.5973695548430076
1.020999999999998,0.5979866861440882,1.020999999999998,0.5973479783889535
1.021999999999998,0.5979859790223444,1.021999999999998,0.5973264374877512
1.022999999999998,0.5979852851569419,1.022999999999998,0.5973049320872781
1.023999999999998,0.5979846046344659,1.023999999999998,0.5972834621363469
1.024999999999998,0.5979839375404012,1.024999999999998,0.597262027584499
1.025999999999998,0.5979832839583346,1.025999999999998,0.5972406283831204
1.026999999999998,0.5979826439718636,1.026999999999998,0.5972192644853713
1.027999999999998,0.5979820176630082,1.027999999999998,0.5971979358451314
1.028999999999997,0.5979814051119062,1.028999999999997,0.5971766424176291
1.029999999999997,0.5979808063989711,1.029999999999997,0.5971553841603985
1.030999999999997,0.5979802216037191,1.030999999999997,0.5971341610308827
1.031999999999997,0.597979650803122,1.031999999999997,0.5971129729890934
1.032999999999997,0.5979790940742752,1.032999999999997,0.5970918199934937
1.033999999999997,0.5979785514929928,1.033999999999997,0.5970707020070719
1.034999999999997,0.5979780231343224,1.034999999999997,0.5970496189921386
1.035999999999997,0.5979775090715378,1.035999999999997,0.5970285709118034
1.036999999999997,0.5979770093780415,1.036999999999997,0.5970075577311258
1.037999999999996,0.5979765241247719,1.037999999999996,0.5969865794155468
1.038999999999996,0.5979760533836305,1.038999999999996,0.5969656359321304
1.039999999999996,0.5979755972243104,1.039999999999996,0.596944727247169
1.040999999999996,0.5979751557148305,1.040999999999996,0.5969238533302808
1.041999999999996,0.5979747289239415,1.041999999999996,0.596903014150028
1.042999999999996,0.5979743169178574,1.042999999999996,0.5968822096768318
1.043999999999996,0.5979739197636362,1.043999999999996,0.5968614398821269
1.044999999999996,0.5979735375256872,1.044999999999996,0.5968407047372056
1.045999999999996,0.5979731702686166,1.045999999999996,0.5968200042143664
1.046999999999995,0.5979728180554986,1.046999999999995,0.5967993382873349
