/vref_c (temperature=0) X,/vref_c (temperature=0) Y,/vref_c (temperature=27) X,/vref_c (temperature=27) Y,/vref_c (temperature=100) X,/vref_c (temperature=100) Y,/vref_p (temperature=0) X,/vref_p (temperature=0) Y,/vref_p (temperature=27) X,/vref_p (temperature=27) Y,/vref_p (temperature=100) X,/vref_p (temperature=100) Y
8.50698715052144e-13,-2.593925219978257e-05,8.656169799517265e-13,-2.475462281415125e-05,9.021975677173807e-13,-2.146816898806211e-05,8.50698715052144e-13,-9.857476759353644e-06,8.656169799517265e-13,-9.287849260350654e-06,9.021975677173807e-13,-7.881595353463224e-06
9.157153642108886e-13,-2.777756746580519e-05,9.319872960996059e-13,-2.66041764174528e-05,9.712870031367816e-13,-2.324654950150132e-05,9.157153642108886e-13,-1.053705117525572e-05,9.319872960996059e-13,-9.958966808883767e-06,9.712870031367816e-13,-8.508324776848487e-06
9.796143681269864e-13,-2.949847064445859e-05,9.958682257675124e-13,-2.83111542053259e-05,1.034086337003687e-12,-2.481866458872197e-05,9.796143681269864e-13,-1.127384478813137e-05,9.958682257675124e-13,-1.066798532888073e-05,1.034086337003687e-12,-9.127038958586253e-06
1.034538752972518e-12,-3.091204978805079e-05,1.051206235821649e-12,-2.973300138929418e-05,1.090631534653331e-12,-2.619724666859955e-05,1.034538752972518e-12,-1.196714884634741e-05,1.051206235821649e-12,-1.133698160008152e-05,1.090631534653331e-12,-9.72727201275102e-06
1.085724612899622e-12,-3.217749545148104e-05,1.103305954098572e-12,-3.102539475973911e-05,1.145456714807927e-12,-2.750091449548546e-05,1.085724612899622e-12,-1.26631287588512e-05,1.103305954098572e-12,-1.20130128023501e-05,1.145456714807927e-12,-1.034734592090349e-05
1.13730980297791e-12,-3.340449660241029e-05,1.156362984590866e-12,-3.229725932217564e-05,1.202817650039121e-12,-2.883075640350412e-05,1.13730980297791e-12,-1.340870779302039e-05,1.156362984590866e-12,-1.274282002347923e-05,1.202817650039121e-12,-1.103107914619543e-05
1.192943702133292e-12,-3.467598043043629e-05,1.214573208620578e-12,-3.364338335543623e-05,1.269001772061646e-12,-3.03229091220955e-05,1.192943702133292e-12,-1.425215227479417e-05,1.214573208620578e-12,-1.358056611094844e-05,1.269001772061646e-12,-1.185160449638732e-05
1.259401021987295e-12,-3.612789647090911e-05,1.282234215832377e-12,-3.514616004925896e-05,1.341449128077424e-12,-3.190594563674071e-05,1.259401021987295e-12,-1.528996189869533e-05,1.282234215832377e-12,-1.458017492033046e-05,1.341449128077424e-12,-1.276588556243698e-05
1.330710154755601e-12,-3.760895216866464e-05,1.356330739005114e-12,-3.671910709624267e-05,1.427244520166932e-12,-3.371507024061539e-05,1.330710154755601e-12,-1.640384847623479e-05,1.356330739005114e-12,-1.567042223582648e-05,1.427244520166932e-12,-1.383095410272621e-05
1.407573205255034e-12,-3.912117577264588e-05,1.431539680880031e-12,-3.824161564177198e-05,1.501599626962287e-12,-3.52273679886667e-05,1.407573205255034e-12,-1.755744242165227e-05,1.431539680880031e-12,-1.673172424986403e-05,1.501599626962287e-12,-1.470936064382967e-05
1.474057736140015e-12,-4.036232196721988e-05,1.498713028153784e-12,-3.954124179775254e-05,1.571875600514503e-12,-3.661126919094635e-05,1.474057736140015e-12,-1.848413813861766e-05,1.498713028153784e-12,-1.761337160902596e-05,1.571875600514503e-12,-1.548254290737911e-05
1.538718908949351e-12,-4.151332229506301e-05,1.565340634174738e-12,-4.077716643423892e-05,1.640641434965156e-12,-3.7923657994865e-05,1.538718908949351e-12,-1.930231787102157e-05,1.565340634174738e-12,-1.840949194364687e-05,1.640641434965156e-12,-1.617742613052199e-05
1.60270945553671e-12,-4.260024885986844e-05,1.628716943403058e-12,-4.190536939222399e-05,1.704392049124675e-12,-3.910466515126504e-05,1.60270945553671e-12,-2.002473987077857e-05,1.628716943403058e-12,-1.909059710537671e-05,1.704392049124675e-12,-1.676930579694159e-05
1.662054890096542e-12,-4.356406883812216e-05,1.688858775389815e-12,-4.293502151366599e-05,1.768973507673033e-12,-4.026714086918353e-05,1.662054890096542e-12,-2.062237456708061e-05,1.688858775389815e-12,-1.967466458177498e-05,1.768973507673033e-12,-1.732712146853157e-05
1.721755110986994e-12,-4.449262742502379e-05,1.750725998392142e-12,-4.395421996013902e-05,1.840549866996735e-12,-4.151687569735521e-05,1.721755110986994e-12,-2.116736004308171e-05,1.750725998392142e-12,-2.022699228010046e-05,1.840549866996735e-12,-1.791465149282538e-05
1.786747600249805e-12,-4.54588216071465e-05,1.820198216469025e-12,-4.5052342275909e-05,1.936503069334863e-12,-4.313080721229739e-05,1.786747600249805e-12,-2.172057508832164e-05,1.820198216469025e-12,-2.0814245595942e-05,1.936503069334863e-12,-1.869158458392245e-05
1.868558740748421e-12,-4.661219725937055e-05,1.917459494534641e-12,-4.651145715645965e-05,2.047207154475999e-12,-4.490892531565977e-05,1.868558740748421e-12,-2.240201937563421e-05,1.917459494534641e-12,-2.163437747707509e-05,2.047207154475999e-12,-1.962059551189742e-05
1.968514871188977e-12,-4.793180786788153e-05,2.017508738417593e-12,-4.792202670251934e-05,2.128488580819367e-12,-4.615946432093397e-05,1.968514871188977e-12,-2.327326288225676e-05,2.017508738417593e-12,-2.252598352591984e-05,2.128488580819367e-12,-2.034085862760722e-05
2.046829271232331e-12,-4.890041929935968e-05,2.093361130211192e-12,-4.893340407091414e-05,2.204869777506121e-12,-4.72934928206185e-05,2.046829271232331e-12,-2.401032494006689e-05,2.093361130211192e-12,-2.325071672263956e-05,2.204869777506121e-12,-2.105019741830757e-05
2.117438421242882e-12,-4.972740180025047e-05,2.165585310502735e-12,-4.9852021194918e-05,2.284110020974366e-12,-4.842946190698726e-05,2.117438421242882e-12,-2.472237372310253e-05,2.165585310502735e-12,-2.398156389803164e-05,2.284110020974366e-12,-2.181251974298604e-05
2.188727660123447e-12,-5.051993836555213e-05,2.240182925641188e-12,-5.075755039483526e-05,2.368542126429711e-12,-4.959608181464523e-05,2.188727660123447e-12,-2.548078191282084e-05,2.240182925641188e-12,-2.476868945228516e-05,2.368542126429711e-12,-2.263908466952366e-05
2.265417307889138e-12,-5.132745125857579e-05,2.319349982197734e-12,-5.167267874741676e-05,2.463886595213828e-12,-5.086123061257582e-05,2.265417307889138e-12,-2.63237616335843e-05,2.319349982197734e-12,-2.562117817264178e-05,2.463886595213828e-12,-2.356639209397639e-05
2.344818010892136e-12,-5.211684573366462e-05,2.405562370260484e-12,-5.261810790467507e-05,2.578934743871186e-12,-5.231719765418192e-05,2.344818010892136e-12,-2.720211865682266e-05,2.405562370260484e-12,-2.654352435247552e-05,2.578934743871186e-12,-2.464424760987359e-05
2.437461666845675e-12,-5.298133702983643e-05,2.512427303303296e-12,-5.372011483888984e-05,2.687030873803505e-12,-5.361773864045088e-05,2.437461666845675e-12,-2.820065799438344e-05,2.512427303303296e-12,-2.764030327762667e-05,2.687030873803505e-12,-2.559698262627746e-05
2.535714497770474e-12,-5.383557652002003e-05,2.612034671828798e-12,-5.468132831648269e-05,2.780402141545457e-12,-5.469092739559292e-05,2.535714497770474e-12,-2.919746309898526e-05,2.612034671828798e-12,-2.859256351300161e-05,2.780402141545457e-12,-2.636915171642384e-05
2.631537540321017e-12,-5.461041989714936e-05,2.701530909292927e-12,-5.549379786129683e-05,2.873870427149102e-12,-5.572029861041341e-05,2.631537540321017e-12,-3.009043070632012e-05,2.701530909292927e-12,-2.938273076340195e-05,2.873870427149102e-12,-2.710069964182518e-05
2.7160316028088e-12,-5.52488903302997e-05,2.787484381584986e-12,-5.623079804099609e-05,2.977271259862124e-12,-5.680903963138391e-05,2.7160316028088e-12,-3.08108526066662e-05,2.787484381584986e-12,-3.008678175060581e-05,2.977271259862124e-12,-2.78785803902969e-05
2.800409855610269e-12,-5.584700109189644e-05,2.879324189627641e-12,-5.697399137050096e-05,3.101823948856803e-12,-5.805405686285837e-05,2.800409855610269e-12,-3.147579764408032e-05,2.879324189627641e-12,-3.079438797125185e-05,3.101823948856803e-12,-2.88028876295779e-05
2.895461669014067e-12,-5.647649907007617e-05,2.982874583293227e-12,-5.77602355700861e-05,3.218473367554724e-12,-5.91572282087493e-05,2.895461669014067e-12,-3.218133436534327e-05,2.982874583293227e-12,-3.156467548024038e-05,3.218473367554724e-12,-2.967885945767345e-05
3.002847925819694e-12,-5.71349625625606e-05,3.094078091230667e-12,-5.85471792411388e-05,3.333899188506731e-12,-6.019199524518158e-05,3.002847925819694e-12,-3.295879857292521e-05,3.094078091230667e-12,-3.239257532889677e-05,3.333899188506731e-12,-3.056499725281929e-05
